model	lik	mode	convergence
1A	-13779.9043361621	1.79592212192531	0
1C	-13791.8189605523	0.853314733519097	0
1G	-13789.1790607565	1.18063581069501	0
1T	-13774.7028712108	1.48434030750376	0
2A	-13754.5012585354	1.50407511292254	0
2C	-13795.6008635074	1.05907851095785	0
2G	-13790.994581717	1.16970372625199	0
2T	-13791.4895448056	0.975917343274768	0
3A	-13790.1339437232	1.34014811521636	0
3C	-13773.9175374951	1.27633811867441	0
3G	-13791.9167675921	0.999690977777755	0
3T	-13788.4245852718	1.44508239186317	0
4A	-13791.6993181574	0.807198993764855	0
4C	-13768.4659595881	1.29491074512491	0
4G	-13791.3009259536	1.24432125545108	0
4T	-13791.3280038049	0.827964164791668	0
5A	-13790.6192260929	0.388061665620839	0
5C	-13767.6739104857	1.29538857277654	0
5G	-13791.9243237746	1.07709383767902	0
5T	-13791.4664174532	0.82411342767995	0
6A	-13772.928369511	1.2738394497764	0
6C	-13786.5346653047	1.71757457609584	0
6G	-13791.047509452	0.605851933824891	0
6T	-13790.651803938	1.33633849395482	0
7A	-13790.6643391956	0.354764023685103	0
7C	-13766.5792010963	1.30489112466333	0
7G	-13792.0573450965	0.865045382685432	0
7T	-13791.3571763025	1.23355681470975	0
8A	-13791.748647579	1.00858045283573	0
8C	-13792.0285446951	1.11136477500771	0
8G	-13768.2798505749	1.29673334130726	0
8T	-13791.5545947741	0.941572957646131	0
9A	-13791.5695362715	0.865740107713189	0
9C	-13790.6522034486	0.471747747798251	0
9G	-13767.7848327616	1.30531510625	0
9T	-13791.8006899935	1.15590834104639	0
10A	-13791.6212631439	1.03705059161633	0
10C	-13790.6751603372	1.38267137750962	0
10G	-13770.8086126242	1.28234854628196	0
10T	-13791.2209199907	1.26560688921784	0
11A	-13790.6595823737	0.411961918039077	0
11C	-13790.2912511766	0.275940618102198	0
11G	-13788.0454929021	1.99874353715179	0
11T	-13770.0782718214	1.2791224766962	0
12A	-13786.5593140734	1.29022633795894	0
12C	-13776.9858582181	1.27069789299969	0
12G	-13791.1056836193	0.684297095626044	0
12T	-13789.4164746373	1.61024414915677	0
13A	-13767.9280716549	1.62177347657961	0
13C	-13790.6577993762	0.352091334168754	0
13G	-13791.011003778	1.30851402548279	0
13T	-13785.9064289458	1.19923319466147	0
14A	-13791.0330365213	0.707478872440723	0
14C	-13790.670845402	0.360301764112063	0
14G	-13790.7857230743	1.30146614971476	0
14T	-13769.9325536613	1.2846785979012	0
15A	-13790.4246049506	1.56515240418829	0
15C	-13791.4083220436	1.04583935007273	0
15G	-13769.4760522918	1.28276355217486	0
15T	-13791.0340596022	0.922070889318604	0
16A	-13791.8939248895	0.835163350500125	0
16C	-13790.8565303755	1.34396680414318	0
16G	-13790.7819001773	0.673586319402689	0
