model	lik	mode	convergence
1A	-492.020765525531	2.40675535617238	0
1C	-529.604170401501	0.433557995428237	0
1G	-543.647620098828	0.876992066094616	0
1T	-529.604170401468	0.43355810603404	0
2A	-528.376768920506	1.53572481772591	0
2C	-529.539088267325	0.851388068598715	0
2G	-529.604170371471	0.433558281167593	0
2T	-529.604170371371	0.433557881256896	0
3A	-530.295156297231	0.729951198608892	0
3C	-529.604170404935	0.433558053641962	0
3G	-529.604170404916	0.433558031134555	0
3T	-522.215603680701	1.7070837741279	0
4A	-529.604170406614	0.433558086611252	0
4C	-529.60417040651	0.433558135146785	0
4G	-528.475610249311	1.54791648979484	0
4T	-530.212590864443	1.22434159640185	0
5A	-527.968155205729	1.54296482363249	0
5C	-529.654768655701	0.407275216255582	0
5G	-529.604170377487	0.433558161321318	0
5T	-529.604170377457	0.433558360788704	0
6A	-529.604170392012	0.433558137142551	0
6C	-527.88175217782	1.5449223752509	0
6G	-529.60417039206	0.433557999598708	0
6T	-529.661813188221	0.387320038873677	0
7A	-529.604170335719	0.433557817988545	0
7C	-527.978390626348	1.54733589295186	0
7G	-529.604170335777	0.433557731541063	0
7T	-529.934342862892	0.765008193539404	0
8A	-529.604170374028	0.433558178005344	0
8C	-527.988741287412	1.54250479402234	0
8G	-529.604170374145	0.433558174363436	0
8T	-529.649125382826	0.412417754010684	0
9A	-529.232959655233	1.54617413819804	0
9C	-528.82959016693	1.52918013283586	0
9G	-529.604170387643	0.433558103700576	0
9T	-529.60417038762	0.433558187099491	0
neutral	-529.889849198138	1	0
