model	lik	mode	convergence
1A	-878.877435950646	3.0667816810145	0
1C	-1229.69240792778	0.433558083633305	0
1G	-1242.10882194478	0.719184824575433	0
1T	-1229.69240792775	0.433558165632413	0
2A	-1229.69240789902	0.433558140409827	0
2C	-1229.72353545355	0.421144478568713	0
2G	-1229.69240789897	0.433558010259503	0
2T	-901.932578012902	2.98430931124471	0
3A	-1229.69240791439	0.43355818866103	0
3C	-901.450210135798	2.98760766148959	0
3G	-1229.69240791441	0.433558040973242	0
3T	-1229.74967434656	0.39623003026647	0
4A	-1229.69240792044	0.433558125922123	0
4C	-1229.69240792032	0.433558072329359	0
4G	-901.395082761153	2.98767144543946	0
4T	-1229.75020087012	0.388190944116522	0
5A	-1229.69240791845	0.433558131355148	0
5C	-1229.69240791831	0.43355799239745	0
5G	-902.429412746224	2.9842157608338	0
5T	-1229.71147472637	0.788432224584672	0
6A	-1229.69240792048	0.433558201994738	0
6C	-901.389314798426	2.98770915917449	0
6G	-1229.75015232464	0.387882950168799	0
6T	-1229.69240792065	0.433557988927032	0
7A	-901.807456593825	2.98506012392735	0
7C	-1229.69240790317	0.433558096135992	0
7G	-1229.69240790316	0.433558060924233	0
7T	-1229.73714660271	0.412587434726361	0
8A	-906.185572477436	2.97233749157177	0
8C	-1229.69240789656	0.43355946925899	0
8G	-1226.58983199102	3.57585257067054	0
8T	-1229.69240789668	0.433558183049634	0
9A	-901.627220405112	2.98617866678226	0
9C	-1229.69240791052	0.433558093148564	0
9G	-1229.74751197729	0.40128966576951	0
9T	-1229.69240791051	0.4335582711643	0
neutral	-1229.97808542766	1	0
