lik	gamma	delta
-1053.53464603453	0.00292462151846296	0.255280876034797
-1139.87025329057	0.00292462151846296	0.0135590941370257
-1140.14948234576	0.00292462151846296	0.0337090601436621
-1140.19731219471	0.00292462151846296	6.61069613519961e-05
-1140.1972937597	0.00292462151846296	6.61069613519961e-05
-1140.19838709361	0.00292462151846296	6.61069613519961e-05
-1140.19717280383	0.00292462151846296	6.61069613519961e-05
-1074.63279213788	0.00292462151846296	0.158227952262147
-1079.98752099298	0.00292462151846296	0.145019600543095
-1140.19717663737	0.00292462151846296	6.61069613519961e-05
-1140.19717663737	0.00292462151846296	6.61069613519961e-05
-1140.19718334763	0.00292462151846296	6.61069613519961e-05
-1140.19717244165	0.00292462151846296	6.61069613519961e-05
-1140.1982129536	0.00292462151846296	6.61069613519961e-05
-1140.19723850907	0.00292462151846296	6.61069613519961e-05
-1075.67942045231	0.00292462151846296	0.155500475695479
-1140.19815803504	0.00292462151846296	6.61069613519961e-05
-1074.74469290699	0.00292462151846296	0.158210863296737
-1140.19719468669	0.00292462151846296	6.61069613519961e-05
-1140.19747687096	0.00292462151846296	6.61069613519961e-05
-1101.76476624257	0.00292462151846296	0.392902843051591
-1140.19749763377	0.00292462151846296	6.61069613519961e-05
-1104.139149459	0.00292462151846296	0.149443470638512
-1138.08033818048	0.00292462151846296	0.0415705400879863
-1140.19717359873	0.00292462151846296	6.61069613519961e-05
-1140.19773376198	0.00292462151846296	6.61069613519961e-05
-1079.8688246508	0.00292462151846296	0.143844115510931
-1140.19717359873	0.00292462151846296	6.61069613519961e-05
-1140.19717309462	0.00292462151846296	6.61069613519961e-05
-1139.92078187575	0.00292462151846296	0.0416424195420784
-1081.19910195068	0.00292462151846296	0.143542738015935
-1140.19717309462	0.00292462151846296	6.61069613519961e-05
-1140.19717237604	0.00292462151846296	6.61069613519961e-05
-1087.35646158581	0.00292462151846296	0.132556072567411
-1131.67462972216	0.00292462151846296	0.52100318664854
-1140.19717237604	0.00292462151846296	6.61069613519961e-05
-1074.93671121103	0.00292462151846296	0.157580933866279
-1140.19717265983	0.00292462151846296	6.61069613519961e-05
-1140.19838694962	0.00292462151846296	6.61069613519961e-05
-1140.19717265983	0.00292462151846296	6.61069613519961e-05
-1140.19717176751	0.00292462151846296	0
