lik	gamma	delta
-1145.12778663944	0.00175227140144324	6.61069613519961e-05
-1144.18694322981	0.00175227140144324	0.0133645792378643
-1145.04722264397	0.00175227140144324	0.0791239624034102
-1145.12711115574	0.00175227140144324	6.61069613519961e-05
-1144.08578318983	0.00175227140144324	0.0142588561998906
-1145.12800484559	0.00175227140144324	6.61069613519961e-05
-1145.12711194058	0.00175227140144324	6.61069613519961e-05
-1145.12711194058	0.00175227140144324	6.61069613519961e-05
-1144.50471629933	0.00175227140144324	0.0110930089345463
-1145.12262455647	0.00175227140144324	0.00477244471713525
-1144.39979014227	0.00175227140144324	0.0862411890351386
-1145.12710966497	0.00175227140144324	6.61069613519961e-05
-1145.12862450263	0.00175227140144324	6.61069613519961e-05
-1143.93664444231	0.00175227140144324	0.0154028524357418
-1145.12710987415	0.00175227140144324	6.61069613519961e-05
-1145.12710987415	0.00175227140144324	6.61069613519961e-05
-1144.50736011878	0.00175227140144324	0.0108590216919709
-1145.12710962975	0.00175227140144324	6.61069613519961e-05
-1144.39974560556	0.00175227140144324	0.0862448222500663
-1145.12710962975	0.00175227140144324	6.61069613519961e-05
-1145.12711159563	0.00175227140144324	6.61069613519961e-05
-1145.12772653892	0.00175227140144324	6.61069613519961e-05
-1144.16934537959	0.00175227140144324	0.0134607390846852
-1145.12711159563	0.00175227140144324	6.61069613519961e-05
-1145.12710986502	0.00175227140144324	6.61069613519961e-05
-1144.23675253436	0.00175227140144324	0.0129296963699718
-1145.12710986502	0.00175227140144324	6.61069613519961e-05
-1145.12740224441	0.00175227140144324	6.61069613519961e-05
-1145.12710950522	0.00175227140144324	6.61069613519961e-05
-1145.12726609616	0.00175227140144324	6.61069613519961e-05
-1145.12710950522	0.00175227140144324	6.61069613519961e-05
-1144.26368994105	0.00175227140144324	0.0127159929168945
-1143.59418204718	0.00175227140144324	0.0974976142516002
-1145.12927747012	0.00175227140144324	6.61069613519961e-05
-1145.12740874617	0.00175227140144324	6.61069613519961e-05
-1144.24267160369	0.00175227140144324	0.0134598710537589
-1145.11195531727	0.00175227140144324	0.0112046316483689
-1145.12742242256	0.00175227140144324	6.61069613519961e-05
-1144.43414759777	0.00175227140144324	0.0118755139627122
-1144.82555118713	0.00175227140144324	0.0336476332466063
-1145.12710886807	0.00175227140144324	0
