model	lik	mode	convergence
1A	-968.745043440808	2.82223701725397	0
1C	-981.551458778385	0.433157838884072	0
1G	-981.551458778385	0.433157838886486	0
1T	-987.778723070203	0.947296818506062	0
2A	-978.842959805446	3.23644412001635	0
2C	-981.551417463134	0.433210862267915	0
2G	-979.150899578273	2.97384141688514	0
2T	-984.270819997208	1.58232222557678	0
3A	-981.934100639177	0.367886297394738	0
3C	-981.735198410508	0.454077359044029	0
3G	-981.5541334643	0.428618865828614	0
3T	-974.356466428778	2.05999903762574	0
4A	-982.20248975819	0.902758463297971	0
4C	-981.551550829419	0.432200450506308	0
4G	-981.551550829419	0.432200450506308	0
4T	-979.317153226058	1.97997068629833	0
5A	-987.778723070203	0.947296818524826	0
5C	-981.551458778385	0.433157838884072	0
5G	-981.551458778385	0.433157838884067	0
5T	-968.745043440808	2.82223701725403	0
6A	-980.735847612905	1.71569096465781	0
6C	-981.551254760027	0.433305818636467	0
6G	-981.551254760027	0.433305818636506	0
6T	-981.111299162134	1.79613080303126	0
7A	-981.551343726943	0.433253060088222	0
7C	-981.551343726943	0.433253060231246	0
7G	-986.603826387797	1.36108080058132	0
7T	-972.692109691533	2.9926644735141	0
8A	-981.731654633963	0.454251713142539	0
8C	-981.550172620444	0.428901025530465	0
8G	-978.716089788043	1.99596312194756	0
8T	-981.550172620444	0.428901025542954	0
9A	-981.551448464138	0.433185271018196	0
9C	-981.609994155714	0.40754389878901	0
9G	-979.790640189961	1.88417279729459	0
9T	-981.551448464138	0.433185271020309	0
10A	-982.010103223191	1.75173138701331	0
10C	-979.99880328412	2.35120289812507	0
10G	-981.551263637715	0.433307435350768	0
10T	-981.551263637715	0.433307435398167	0
11A	-981.550172620444	0.428901025531732	0
11C	-981.731654633963	0.45425171320447	0
11G	-981.550172620444	0.428901025402844	0
11T	-978.716089788043	1.99596312196688	0
12A	-981.731654633963	0.454251713204438	0
12C	-978.716089788042	1.99596312194773	0
12G	-981.550172620444	0.428901025413993	0
12T	-981.550172620444	0.428901025542954	0
13A	-982.339100767331	1.72208673424019	0
13C	-981.551340242775	0.433251500928673	0
13G	-981.551340242775	0.433251500928673	0
13T	-978.843106691547	3.23738478565301	0
14A	-979.98431173341	1.86499732762575	0
14C	-981.55126780276	0.433299551154619	0
14G	-981.581159921622	0.420148217637048	0
14T	-981.55126780276	0.433299551157344	0
15A	-981.551267805478	0.43308775976826	0
15C	-981.595950766535	0.419213395730192	0
15G	-979.864959301452	1.87912151151372	0
15T	-981.551267805478	0.433087759780109	0
16A	-981.555210151315	0.433016356321446	0
16C	-975.811563580245	1.90797699009236	0
16G	-981.938316614189	0.370966543794585	0
16T	-981.555210151315	0.433016356332772	0
17A	-981.551595868422	0.432725335406183	0
17C	-980.327185304386	1.87695670330048	0
17G	-981.551595868422	0.43272533540616	0
17T	-981.821040496132	1.09024129029484	0
18A	-980.055418215306	1.85928004107412	0
18C	-981.551242723175	0.433310765008489	0
18G	-981.555230492396	0.431891441660298	0
18T	-981.551242723175	0.433310765100487	0
19A	-981.551319841845	0.433269207902284	0
19C	-981.551319841845	0.433269207902309	0
19G	-982.267829595486	1.72841357715137	0
19T	-979.151037708658	2.97455201785854	0
20A	-981.551242366511	0.433310933099737	0
20C	-981.551242366511	0.433310933177834	0
20G	-981.308643126639	0.940824770617445	0
20T	-980.616753029484	1.82568446511353	0
21A	-980.327185304386	1.87695670330076	0
21C	-981.551595868422	0.432725335394595	0
21G	-981.551595868422	0.432725335373153	0
21T	-981.821040496132	1.09024129037046	0
22A	-981.551572496474	0.432646155250811	0
22C	-981.574482204645	0.357300049936458	0
22G	-979.475818678379	1.9085535489705	0
22T	-981.551572496474	0.432646155250771	0
23A	-979.475818678379	1.9085535489705	0
23C	-981.551572496474	0.432646155253483	0
23G	-981.551572496474	0.432646155241345	0
23T	-981.574482204645	0.357300049936087	0
24A	-981.609994155714	0.407543898789162	0
24C	-979.790640189961	1.88417279716437	0
24G	-981.551448464138	0.433185271018207	0
24T	-981.551448464138	0.43318527100949	0
25A	-981.55145823618	0.433113057646173	0
25C	-979.738163426901	1.88554038784795	0
25G	-981.603708492895	0.385897592582706	0
25T	-981.55145823618	0.433113057660087	0
26A	-981.551550829419	0.432200450517004	0
26C	-981.551550829419	0.432200450493339	0
26G	-979.317153226058	1.97997068627708	0
26T	-982.20248975819	0.902758463266731	0
27A	-980.628307439885	1.83625124323474	0
27C	-981.551272368336	0.433298261459794	0
27G	-981.551272368336	0.433298261448451	0
27T	-981.565939615975	1.12052592799635	0
28A	-980.327185304386	1.87695670330076	0
28C	-981.821040496132	1.09024129037013	0
28G	-981.551595868422	0.432725335385191	0
28T	-981.551595868422	0.432725335384763	0
29A	-981.555210151315	0.433016356321446	0
29C	-975.811563580245	1.90797699009236	0
29G	-981.938316614189	0.370966543794585	0
29T	-981.555210151315	0.433016356332772	0
30A	-981.551429227317	0.433156291744127	0
30C	-981.551429227317	0.433156291746551	0
30G	-979.775543665963	1.88234569561471	0
30T	-981.604478808969	0.390545056309497	0
31A	-981.551572496474	0.432646155253519	0
31C	-979.475818678379	1.90855354897073	0
31G	-981.574482204645	0.357300049936459	0
31T	-981.551572496474	0.432646155250771	0
32A	-981.584029483418	0.418328271483531	0
32C	-981.551274264917	0.433295939282827	0
32G	-981.551274264917	0.433295939269077	0
32T	-979.973158106374	1.86589646291055	0
33A	-981.555210151315	0.433016356333188	0
33C	-981.938316614189	0.370966543836832	0
33G	-981.555210151315	0.433016356341761	0
33T	-975.811563580245	1.90797699006378	0
34A	-981.551301895285	0.4332802095994	0
34C	-981.551301895285	0.433280209596902	0
34G	-979.933027291385	1.86919266704442	0
34T	-981.592749898831	0.412314699887776	0
35A	-981.551458778385	0.433157838881643	0
35C	-987.778723070203	0.947296818505948	0
35G	-968.745043440808	2.82223701724404	0
35T	-981.551458778385	0.433157838870184	0
36A	-982.20248975819	0.90275846329916	0
36C	-981.551550829419	0.432200450506273	0
36G	-979.317153226058	1.97997068627741	0
36T	-981.551550829419	0.43220045050407	0
37A	-981.551303257865	0.433278551791473	0
37C	-981.551303257865	0.433278551811481	0
37G	-981.593002443262	0.411863918715712	0
37T	-979.930739187369	1.869366388287	0
38A	-981.55144180152	0.433186747100071	0
38C	-987.731551749065	0.971599247476524	0
38G	-970.229070274106	2.60341698624462	0
38T	-981.55144180152	0.433186747100414	0
39A	-981.593490478966	0.363799795285551	0
39C	-979.52944871995	1.90296920845835	0
39G	-981.551581190696	0.43299442468657	0
39T	-981.551581190696	0.432994424684207	0
40A	-981.551550829419	0.432200450516335	0
40C	-979.317153226058	1.97997068627759	0
40G	-981.551550829419	0.432200450481104	0
40T	-982.20248975819	0.902758463331572	0
41A	-981.671643142977	0.751774955219992	0
41C	-981.551279314399	0.433294997403246	0
41G	-981.551279314399	0.433294997403241	0
41T	-980.286810298163	1.85253244684339	0
42A	-981.551458778385	0.433157838884072	0
42C	-968.745043440808	2.82223701725397	0
42G	-981.551458778385	0.433157838881399	0
42T	-987.778723070203	0.947296818543514	0
43A	-981.551251171494	0.433310108805381	0
43C	-981.551251171494	0.43331010882275	0
43G	-980.140347612365	1.86426441856295	0
43T	-981.754090038392	0.69426374935051	0
44A	-979.801546916432	1.88014585624139	0
44C	-981.604462724988	0.393944038708865	0
44G	-981.551408750103	0.433183947644121	0
44T	-981.551408750103	0.433183947646492	0
45A	-981.551374128156	0.433223146070917	0
45C	-979.844113252925	1.87656967384825	0
45G	-981.60303977085	0.399698022867414	0
45T	-981.551374128156	0.433223146070904	0
46A	-980.327185304386	1.87695670330076	0
46C	-981.551595868422	0.432725335406183	0
46G	-981.821040496132	1.09024129021804	0
46T	-981.551595868422	0.432725335384763	0
47A	-981.671643142977	0.751774955117574	0
47C	-980.286810298163	1.85253244684286	0
47G	-981.551279314399	0.433294997383337	0
47T	-981.551279314399	0.433294997391956	0
48A	-981.731654633963	0.454251713204476	0
48C	-981.550172620444	0.428901025531659	0
48G	-981.550172620444	0.428901025659793	0
48T	-978.716089788043	1.99596312190864	0
49A	-970.229070274106	2.60341698624722	0
49C	-987.731551749065	0.971599247476524	0
49G	-981.55144180152	0.433186747097356	0
49T	-981.55144180152	0.433186747100071	0
50A	-979.775543665963	1.88234569568826	0
50C	-981.604478808969	0.390545056309442	0
50G	-981.551429227317	0.433156291719048	0
50T	-981.551429227317	0.433156291741363	0
51A	-978.716089788043	1.99596312192809	0
51C	-981.550172620444	0.428901025531051	0
51G	-981.731654633963	0.454251713142539	0
51T	-981.550172620444	0.428901025659793	0
52A	-981.55126780276	0.43329955117182	0
52C	-981.581159921622	0.420148217731472	0
52G	-981.55126780276	0.433299551185625	0
52T	-979.98431173341	1.8649973276276	0
53A	-981.55145823618	0.433113057660103	0
53C	-981.603708492895	0.385897592584073	0
53G	-981.55145823618	0.433113057650929	0
53T	-979.738163426901	1.88554038773982	0
54A	-981.603438282196	0.397789756446601	0
54C	-979.831191103164	1.87763642012173	0
54G	-981.551383686012	0.43321076813825	0
54T	-981.551383686012	0.4332107681497	0
55A	-981.551374128156	0.433223146070904	0
55C	-981.60303977085	0.399698022875075	0
55G	-981.551374128156	0.433223146070952	0
55T	-979.844113252925	1.87656967376641	0
56A	-980.092273328463	1.86859607171061	0
56C	-981.777378790772	0.685281984491358	0
56G	-981.551286328968	0.433294020488558	0
56T	-981.551286328968	0.433294020502309	0
57A	-981.551550829419	0.432200450516335	0
57C	-979.317153226058	1.97997068627759	0
57G	-981.551550829419	0.432200450481104	0
57T	-982.20248975819	0.902758463331572	0
58A	-982.3513056503	0.946306121820503	0
58C	-977.242314068598	2.03022619884098	0
58G	-981.551597517579	0.433271748056499	0
58T	-981.551597517579	0.433271748065199	0
59A	-979.98619841229	1.86487503742991	0
59C	-981.551267189425	0.433300751675223	0
59G	-981.551267189425	0.433300751675273	0
59T	-981.580926818604	0.420683709151462	0
60A	-981.551531273422	0.433410812399935	0
60C	-981.635063132599	0.429317045797047	0
60G	-981.592421398913	0.889269427906959	0
60T	-980.26520176856	1.86041984176401	0
61A	-981.551448464138	0.43318527100904	0
61C	-979.790640189961	1.88417279719727	0
61G	-981.609994155714	0.40754389878815	0
61T	-981.551448464138	0.433185271020973	0
62A	-981.550172620444	0.428901025531732	0
62C	-981.731654633963	0.45425171320447	0
62G	-981.550172620444	0.428901025402844	0
62T	-978.716089788043	1.99596312196688	0
63A	-975.811563580245	1.90797699006378	0
63C	-981.555210151315	0.433016356333206	0
63G	-981.938316614189	0.370966543748099	0
63T	-981.555210151315	0.433016356341778	0
64A	-981.551572496474	0.432646155262948	0
64C	-981.574482204645	0.357300049936458	0
64G	-981.551572496474	0.432646155265217	0
64T	-979.475818678379	1.90855354894199	0
65A	-981.600719604778	0.378223716923039	0
65C	-981.551521957485	0.433025037391607	0
65G	-981.551521957485	0.433025037391607	0
65T	-979.665452682607	1.89190765654014	0
66A	-983.59709594128	1.67144793681762	0
